anchor,month_end,N_anchor,sigma_offpeg,mean_offpeg,tail1,tail2,dlog_usd_per_anchor,Pol_anchor,cum_events,policy_stage,ban_dummy,any_impulse,Pol_anchor_l1,sigma_offpeg_l1,mean_offpeg_l1,tail1_l1,tail2_l1,N_anchor_l1,cum_events_l1,policy_stage_l1,ban_dummy_l1
AUD,2024-11-30,1,3.06068560705016,-1.2203413265102407,1.0,1.0,-0.01070280223970882,1.0,1.0,1.0,0,0.0,,,,,,,,,
AUD,2024-12-31,1,2.167096912500318,-1.8723473550977137,1.0,1.0,-0.0484407603837993,1.0,1.0,1.0,0,0.0,1.0,3.06068560705016,-1.2203413265102407,1.0,1.0,1.0,1.0,1.0,0.0
AUD,2025-01-31,1,1.4002003426891918,-0.15877851805959617,1.0,1.0,0.004567305095368512,1.0,1.0,1.0,0,0.0,1.0,2.167096912500318,-1.8723473550977137,1.0,1.0,1.0,1.0,1.0,0.0
AUD,2025-02-28,1,2.009672216473668,-1.2888347342852986,1.0,1.0,-0.0006018908162788161,1.0,1.0,1.0,0,0.0,1.0,1.4002003426891918,-0.15877851805959617,1.0,1.0,1.0,1.0,1.0,0.0
AUD,2025-03-31,1,1.6403908150992377,-1.706338945253709,1.0,1.0,0.004185497320444431,1.0,1.0,1.0,0,0.0,1.0,2.009672216473668,-1.2888347342852986,1.0,1.0,1.0,1.0,1.0,0.0
AUD,2025-04-30,1,1.8304809593795262,-0.6360357629136959,1.0,1.0,0.022968397388224482,1.0,1.0,1.0,0,0.0,1.0,1.6403908150992377,-1.706338945253709,1.0,1.0,1.0,1.0,1.0,0.0
AUD,2025-05-31,1,1.7618875007300838,-0.38599497650043774,1.0,1.0,0.005526279960969549,1.0,1.0,1.0,0,0.0,1.0,1.8304809593795262,-0.6360357629136959,1.0,1.0,1.0,1.0,1.0,0.0
AUD,2025-06-30,1,5.239946415491957,-3.466778107356338,1.0,1.0,0.016135782306523017,1.0,1.0,1.0,0,0.0,1.0,1.7618875007300838,-0.38599497650043774,1.0,1.0,1.0,1.0,1.0,0.0
AUD,2025-07-31,1,1.3578902351082958,-0.38530287943031344,1.0,0.967741935483871,-0.013239115884531416,1.0,1.0,1.0,0,0.0,1.0,5.239946415491957,-3.466778107356338,1.0,1.0,1.0,1.0,1.0,0.0
AUD,2025-08-31,1,1.2102266130584096,-0.588809343938081,1.0,1.0,0.01257016799738675,1.0,1.0,1.0,0,0.0,1.0,1.3578902351082958,-0.38530287943031344,1.0,0.967741935483871,1.0,1.0,1.0,0.0
AUD,2025-09-30,1,1.4927801262050857,-1.6575323929998593,1.0,1.0,0.012989103936065782,1.0,1.0,1.0,0,0.0,1.0,1.2102266130584096,-0.588809343938081,1.0,1.0,1.0,1.0,1.0,0.0
AUD,2025-10-31,1,36.686329225256884,6.137694072296464,0.967741935483871,0.9032258064516129,-0.01108802084279309,1.0,1.0,1.0,0,0.0,1.0,1.4927801262050857,-1.6575323929998593,1.0,1.0,1.0,1.0,1.0,0.0
AUD,2025-11-30,1,0.3209003172932562,0.15540289487997683,1.0,1.0,-0.006542146652237679,1.0,1.0,1.0,0,0.0,1.0,36.686329225256884,6.137694072296464,0.967741935483871,0.9032258064516129,1.0,1.0,1.0,0.0
CAD,2025-04-30,1,0.25672911628307094,-0.1898117618132865,0.9545454545454546,0.9545454545454546,0.0378322953982449,2.0,2.0,2.0,0,0.0,,,,,,,,,
CAD,2025-05-31,1,0.30588744479520796,-0.04653346309986118,0.967741935483871,0.9354838709677419,0.0015943190984308298,2.0,2.0,2.0,0,0.0,2.0,0.25672911628307094,-0.1898117618132865,0.9545454545454546,0.9545454545454546,1.0,2.0,2.0,0.0
CAD,2025-06-30,1,0.22583372157646833,-0.24755268536203576,1.0,0.9666666666666667,0.009628103241500596,2.0,2.0,2.0,0,0.0,2.0,0.30588744479520796,-0.04653346309986118,0.967741935483871,0.9354838709677419,1.0,2.0,2.0,0.0
