date,chain,deposit_usd,withdraw_usd,netflow_usd
2022-10-22,Arbitrum,2333204.620788779,800780.449173921,1532424.171614858
2022-10-23,Arbitrum,886044.7560373954,2919077.0370421787,-2033032.2810047832
2022-10-24,Arbitrum,4507542.435939728,5852625.252554476,-1345082.816614748
2022-10-25,Arbitrum,2006300.291267014,3023784.974572203,-1017484.683305189
2022-10-26,Arbitrum,4585736.139477575,2903923.9355200185,1681812.2039575567
2022-10-27,Arbitrum,2050578.6387455065,4476767.081507119,-2426188.442761613
2022-10-28,Arbitrum,4913617.197169658,5145139.472383591,-231522.27521393355
2022-10-29,Arbitrum,3951158.782034399,6932197.966500583,-2981039.184466184
2022-10-30,Arbitrum,3671116.561994084,3777680.12079929,-106563.55880520586
2022-10-31,Arbitrum,4661086.550445575,4563413.731649612,97672.81879596319
2022-11-01,Arbitrum,4553683.634985628,8335155.225052107,-3781471.5900664795
2022-11-02,Arbitrum,7397096.223498533,8310878.739107208,-913782.5156086758
2022-11-03,Arbitrum,7212166.33851871,12677019.884271683,-5464853.545752973
2022-11-04,Arbitrum,7906456.5501064295,7795420.7573289955,111035.79277743399
2022-11-05,Arbitrum,4907894.750930061,6296936.498717705,-1389041.7477876442
2022-11-06,Arbitrum,9059419.450216714,5365185.913514997,3694233.5367017174
2022-11-07,Arbitrum,9445516.975503104,7747888.727580429,1697628.2479226748
2022-11-08,Arbitrum,22571062.47781038,15284242.674844552,7286819.802965827
2022-11-09,Arbitrum,47492585.65703754,34938075.49905385,12554510.15798369
2022-11-10,Arbitrum,32297895.991624895,41544344.22492461,-9246448.233299714
2022-11-11,Arbitrum,15916225.908574881,9161307.737382175,6754918.171192706
2022-11-12,Arbitrum,4981194.518394106,3903025.6906002495,1078168.8277938566
2022-11-13,Arbitrum,19303711.763335686,10060924.64164367,9242787.121692017
2022-11-14,Arbitrum,19218875.325643092,21343565.45301181,-2124690.1273687184
2022-11-15,Arbitrum,16081141.92235239,12066705.112423815,4014436.8099285755
2022-11-16,Arbitrum,16718161.977828214,14105296.007297296,2612865.970530918
2022-11-17,Arbitrum,13244655.353157228,12214780.291395739,1029875.0617614891
2022-11-18,Arbitrum,13805373.788162682,15272231.829426669,-1466858.0412639864
2022-11-19,Arbitrum,13945202.838968901,8551583.634635752,5393619.204333149
2022-11-20,Arbitrum,17995316.967873465,14885637.133465743,3109679.8344077226
2022-11-21,Arbitrum,35865979.73109425,18022934.519326326,17843045.211767923
