asset,date,price_usd,market_cap,volume_24h
bitcoin,2020-05-16,9381.27,,560547005.0259086
bitcoin,2020-05-17,9680.04,,663088800.815278
bitcoin,2020-05-18,9733.93,,797622297.3261683
bitcoin,2020-05-19,9775.53,,760713946.0085461
bitcoin,2020-05-20,9511.43,,721190802.7634026
bitcoin,2020-05-21,9068.65,,1002046265.9412597
bitcoin,2020-05-22,9170.0,,537847834.4967086
bitcoin,2020-05-23,9179.15,,400407195.62892234
bitcoin,2020-05-24,8720.34,,636787240.3733248
bitcoin,2020-05-25,8900.35,,553545285.9140139
bitcoin,2020-05-26,8841.18,,516455128.89068806
bitcoin,2020-05-27,9204.07,,624660855.780037
bitcoin,2020-05-28,9575.89,,693930106.1813825
bitcoin,2020-05-29,9427.07,,542758086.6064702
bitcoin,2020-05-30,9697.72,,530598690.0714505
bitcoin,2020-05-31,9448.27,,461272298.8525205
bitcoin,2020-06-01,10200.77,,749707596.6593573
bitcoin,2020-06-02,9518.04,,1070060237.1302093
bitcoin,2020-06-03,9666.24,,441928818.0430156
bitcoin,2020-06-04,9789.06,,557234945.6467389
bitcoin,2020-06-05,9621.16,,465200788.20363384
bitcoin,2020-06-06,9666.3,,315604867.2361491
bitcoin,2020-06-07,9746.99,,556919603.7915448
bitcoin,2020-06-08,9782.01,,395459395.8213372
bitcoin,2020-06-09,9772.43,,447208895.8386983
bitcoin,2020-06-10,9885.0,,462384305.3511993
bitcoin,2020-06-11,9280.4,,902075648.5453849
bitcoin,2020-06-12,9465.13,,472007894.3756753
bitcoin,2020-06-13,9473.34,,261673162.2584724
bitcoin,2020-06-14,9342.1,,282131272.3800662
bitcoin,2020-06-15,9426.02,,793518842.5509845
bitcoin,2020-06-16,9525.59,,494458269.1397911
bitcoin,2020-06-17,9465.14,,453209812.2257806
bitcoin,2020-06-18,9386.32,,351649555.0725387
bitcoin,2020-06-19,9310.23,,423086965.1927383
bitcoin,2020-06-20,9358.95,,282120360.5567526
bitcoin,2020-06-21,9294.69,,227467940.6102112
bitcoin,2020-06-22,9685.69,,550995799.0694704
bitcoin,2020-06-23,9624.89,,395487616.460878
bitcoin,2020-06-24,9296.49,,579426702.7966821
bitcoin,2020-06-25,9249.49,,514396747.4047828
bitcoin,2020-06-26,9162.21,,461347064.82950306
bitcoin,2020-06-27,9012.0,,419606802.2372014
bitcoin,2020-06-28,9116.35,,278721674.9221112
bitcoin,2020-06-29,9192.56,,384206326.4706804
bitcoin,2020-06-30,9138.55,,287781334.5170158
bitcoin,2020-07-01,9232.0,,354087627.16966116
bitcoin,2020-07-02,9086.54,,417724468.88735676
bitcoin,2020-07-03,9058.26,,263123750.46717235
bitcoin,2020-07-04,9135.46,,240576054.91572312
bitcoin,2020-07-05,9069.41,,308410443.6592152
bitcoin,2020-07-06,9344.2,,502548376.20946366
bitcoin,2020-07-07,9257.39,,320576525.3553498
bitcoin,2020-07-08,9436.06,,525344876.6999235
bitcoin,2020-07-09,9232.43,,447640493.54432976
bitcoin,2020-07-10,9288.34,,352238898.76948255
bitcoin,2020-07-11,9234.03,,208410250.5095937
bitcoin,2020-07-12,9302.75,,285591381.4915314
bitcoin,2020-07-13,9242.62,,396614086.79626995
bitcoin,2020-07-14,9255.85,,421789086.4549474
bitcoin,2020-07-15,9197.6,,360201683.49480516
bitcoin,2020-07-16,9133.72,,395883667.0248003
bitcoin,2020-07-17,9154.32,,256360345.57676792
bitcoin,2020-07-18,9170.28,,206628105.36278892
bitcoin,2020-07-19,9208.99,,238521988.0313255
bitcoin,2020-07-20,9160.78,,325297289.27265835
bitcoin,2020-07-21,9390.0,,563360524.7994282
bitcoin,2020-07-22,9518.16,,457776105.61557144
bitcoin,2020-07-23,9603.27,,494282948.7336824
bitcoin,2020-07-24,9537.8,,419240263.5218282
bitcoin,2020-07-25,9700.42,,391431695.7168218
bitcoin,2020-07-26,9931.54,,644607634.4817771
bitcoin,2020-07-27,11029.96,,1580355372.0991797
bitcoin,2020-07-28,10906.27,,1065375500.1891887
bitcoin,2020-07-29,11100.53,,853242253.6158237
bitcoin,2020-07-30,11099.61,,669779541.8872834
bitcoin,2020-07-31,11335.46,,786344325.8552314
bitcoin,2020-08-01,11801.17,,987817017.3186326
bitcoin,2020-08-02,11071.35,,1105757335.5281618
bitcoin,2020-08-03,11219.81,,641127593.2614517
bitcoin,2020-08-04,11191.97,,658084242.6797222
bitcoin,2020-08-05,11744.91,,861433645.4244397
bitcoin,2020-08-06,11762.46,,746479211.7155949
bitcoin,2020-08-07,11594.23,,767005529.2821208
bitcoin,2020-08-08,11761.41,,489087264.36028093
bitcoin,2020-08-09,11681.68,,483708602.8963804
bitcoin,2020-08-10,11892.92,,1009169063.3832129
bitcoin,2020-08-11,11392.08,,1049615697.1379416
bitcoin,2020-08-12,11564.33,,743303608.0999826
bitcoin,2020-08-13,11780.0,,809611114.2132484
bitcoin,2020-08-14,11760.54,,702273220.6964158
bitcoin,2020-08-15,11852.4,,667446824.0641296
bitcoin,2020-08-16,11911.0,,489731524.6369436
bitcoin,2020-08-17,12281.13,,1026883452.8947719
bitcoin,2020-08-18,11945.01,,920402307.1768105
bitcoin,2020-08-19,11754.59,,870612801.5295693
bitcoin,2020-08-20,11853.55,,543576025.0485107
bitcoin,2020-08-21,11531.34,,755451999.6540914
bitcoin,2020-08-22,11662.96,,504305451.410864
bitcoin,2020-08-23,11648.13,,440406018.65187865
bitcoin,2020-08-24,11748.2,,542298951.538298
bitcoin,2020-08-25,11318.42,,797034671.6452801
bitcoin,2020-08-26,11461.43,,615452789.9673375
bitcoin,2020-08-27,11330.38,,717474981.6640126
bitcoin,2020-08-28,11526.91,,525606229.654251
bitcoin,2020-08-29,11465.84,,379228275.2707224
bitcoin,2020-08-30,11711.16,,501375342.9350389
bitcoin,2020-08-31,11649.51,,646723855.5714536
bitcoin,2020-09-01,11921.97,,928047313.4889667
bitcoin,2020-09-02,11388.54,,1005391012.1338751
bitcoin,2020-09-03,10140.85,,1325106403.3158674
bitcoin,2020-09-04,10446.25,,959925718.3512754
bitcoin,2020-09-05,10166.69,,917578408.8761182
bitcoin,2020-09-06,10256.2,,574903000.2351745
bitcoin,2020-09-07,10373.44,,634278537.8151095
bitcoin,2020-09-08,10126.65,,742947901.9712393
bitcoin,2020-09-09,10219.2,,503082625.21479094
bitcoin,2020-09-10,10336.87,,602390078.4922807
bitcoin,2020-09-11,10387.89,,451241002.66033626
bitcoin,2020-09-12,10440.92,,366912671.4437269
bitcoin,2020-09-13,10332.83,,455338605.3291489
bitcoin,2020-09-14,10671.77,,706175591.3866128
bitcoin,2020-09-15,10785.31,,666457161.1491377
bitcoin,2020-09-16,10954.01,,708644989.4830699
bitcoin,2020-09-17,10939.99,,605010288.7799246
bitcoin,2020-09-18,10933.39,,516147935.6692284
bitcoin,2020-09-19,11080.65,,423651901.1577304
bitcoin,2020-09-20,10920.28,,426815210.75551224
bitcoin,2020-09-21,10417.22,,751020795.2358837
bitcoin,2020-09-22,10529.61,,460362500.7284081
