chain,gecko_chain_id,peg,total_circulating_usd
Abstract,,peggedUSD,18530285.965516094
Acala,acala,peggedUSD,0.0
Agoric,agoric,peggedUSD,423207.5896792323
Algorand,algorand,peggedEUR,81250.73788522904
Algorand,algorand,peggedUSD,45647296.87456855
Aptos,aptos,peggedUSD,1342308349.549155
Arbitrum,,peggedCAD,10718.823370591606
Arbitrum,,peggedCHF,33515.78221690052
Arbitrum,,peggedEUR,1053595.4607874367
Arbitrum,,peggedJPY,11110.326815994504
Arbitrum,,peggedREAL,9328.748899728074
Arbitrum,,peggedSGD,38313.916062190925
Arbitrum,,peggedUSD,4410044329.242606
Arbitrum,,peggedVAR,74479.21080314807
Arbitrum Nova,,peggedUSD,546069.5551812886
Archway,,peggedUSD,17714.415934511682
Astar,astar,peggedUSD,3011911.080631687
Aurora,aurora-near,peggedEUR,4041.0685268475113
Aurora,aurora-near,peggedUSD,4777184.434347432
Avalanche,avalanche-2,peggedCHF,675135.8652142822
Avalanche,avalanche-2,peggedEUR,7463027.195807036
Avalanche,avalanche-2,peggedGBP,8.994506296175434
Avalanche,avalanche-2,peggedREAL,173417.5301507522
Avalanche,avalanche-2,peggedSGD,1828402.9012093928
Avalanche,avalanche-2,peggedTRY,334511.7275228011
Avalanche,avalanche-2,peggedUSD,2379807049.1368423
Avalanche,avalanche-2,peggedVAR,198.13651268757712
Aztec,,peggedUSD,424480.1000014369
BSC,binancecoin,peggedEUR,600019.2636454644
BSC,binancecoin,peggedGBP,8.402228407629883
BSC,binancecoin,peggedREAL,1849955.7466968878
BSC,binancecoin,peggedTRY,224528.82437085672
BSC,binancecoin,peggedUSD,14808565486.705126
Base,,peggedCAD,440820.4843137342
Base,,peggedCHF,1461803.113866403
Base,,peggedEUR,56964794.50354532
Base,,peggedGBP,261095.68658121413
Base,,peggedREAL,1803493.0626902303
Base,,peggedTRY,409525.4667562155
Base,,peggedUSD,4862427496.422128
Berachain,,peggedUSD,159614434.9137992
Bifrost Network,bifrost,peggedUSD,6564614.845272313
Bitlayer,,peggedUSD,381878.93738691934
Bittorrent,bittorrent,peggedUSD,311903.0893762684
Blast,,peggedUSD,51921709.31055136
Boba,boba-network,peggedUSD,1872609.9137056435
Canto,,peggedUSD,5768379.080373471
Cardano,cardano,peggedEUR,201.26714962137697
Cardano,cardano,peggedUSD,36867575.35738242
Celo,celo,peggedCHF,10233.9285423937
Celo,celo,peggedEUR,4018519.2763791303
Celo,celo,peggedGBP,14300.881272677812
Celo,celo,peggedREAL,375224.2493460743
Celo,celo,peggedUSD,175513148.4775779
Concordium,concordium,peggedEUR,0.0
Conflux,conflux-token,peggedUSD,11632.60195847848
Corn,,peggedUSD,11998324.558451986
Crab,darwinia-crab-network-native-token,peggedUSD,1277.8008135068844
Cronos,crypto-com-chain,peggedUSD,186423033.1945611
DFK,defi-kingdoms,peggedUSD,1000647.269641189
DefiChain,defichain,peggedUSD,0.0
Dogechain,dogechain,peggedUSD,434987.284083837
EDU Chain,edu-coin,peggedUSD,480531.89342078974
EOS,eos,peggedUSD,1716374.5489585241
Elastos,elastos,peggedUSD,227624.57019237094
Ergo,ergo,peggedUSD,260125.48941789512
Ethereum,ethereum,peggedAUD,2152355.0755600627
Ethereum,ethereum,peggedCAD,606111.6266710509
Ethereum,ethereum,peggedCHF,16522569.086264411
Ethereum,ethereum,peggedCNY,37277.23164970485
Ethereum,ethereum,peggedEUR,346176202.4247958
Ethereum,ethereum,peggedGBP,1131524.4832480263
Ethereum,ethereum,peggedJPY,6498247.7714591995
Ethereum,ethereum,peggedMXN,0.0
Ethereum,ethereum,peggedPHP,2853867.238034456
Ethereum,ethereum,peggedREAL,2576480.516647949
Ethereum,ethereum,peggedRUB,6320971.148496724
Ethereum,ethereum,peggedSGD,9777405.312162366
Ethereum,ethereum,peggedTRY,5201779.3383476
Ethereum,ethereum,peggedUSD,166426022340.5119
Ethereum,ethereum,peggedVAR,100630651.77423754
EthereumClassic,ethereum-classic,peggedUSD,70097.59426929704
EthereumPoW,ethereum-pow-iou,peggedUSD,1443969.7848532829
Everscale,everscale,peggedEUR,1826.4321253606588
Everscale,everscale,peggedUSD,0.0
Evmos,evmos,peggedUSD,119784.96748497944
Fantom,fantom,peggedEUR,142978.0204397961
Fantom,fantom,peggedUSD,322381969.1061715
Filecoin,,peggedUSD,239534.4420604922
Flare,,peggedUSD,108270935.97053891
Flow,flow,peggedUSD,38389258.385142915
Fraxtal,,peggedCHF,457.54200964546806
Fraxtal,,peggedEUR,1558.918537907961
Fraxtal,,peggedUSD,41818419.580567606
Fuse,fuse-network-token,peggedEUR,5429.605941209745
Fuse,fuse-network-token,peggedUSD,234886.32312618208
Glue,glue-2,peggedUSD,114181.06698747644
Gnosis,gnosis,peggedCHF,636183.7261427554
Gnosis,gnosis,peggedEUR,20943116.23265474
Gnosis,gnosis,peggedREAL,368068.64523542125
Gnosis,gnosis,peggedUSD,148441330.19094372
Gnosis,gnosis,peggedVAR,2845.4823040770357
Harmony,harmony,peggedUSD,8115543.3926366735
Heco,huobi-token,peggedUSD,0.0
Hedera,hedera,peggedCHF,0.0
Hedera,hedera,peggedSGD,38261.38318308056
Hedera,hedera,peggedUSD,125993418.7309385
Hemi,,peggedUSD,45862504.0582977
Hyperliquid L1,hyperliquid,peggedUSD,4794231197.81507
ICP,internet-computer,peggedEUR,51.10187948983291
ICP,internet-computer,peggedUSD,4530330.750128439
Icon,icon,peggedUSD,4901180.694180777
Immutable zkEVM,immutable-x,peggedUSD,11474248.15781156
Injective,injective-protocol,peggedUSD,21518251.4434655
Ink,,peggedUSD,133377968.26250872
IoTeX,iotex,peggedUSD,4924564.983628484
KCC,kucoin-shares,peggedUSD,10707010.856626678
Kadena,kadena,peggedUSD,0.0
Kaia,,peggedUSD,131643977.49274856
