date,chain,total_usd
2021-09-10,Algorand,265778.0
2022-05-12,Algorand,377931106.0
2022-05-13,Algorand,377931106.0
2022-05-14,Algorand,400714458.0
2022-05-15,Algorand,398022890.0
2022-05-16,Algorand,398068653.0
2022-05-17,Algorand,409243073.0
2022-05-18,Algorand,411455543.0
2022-05-19,Algorand,400400181.0
2022-05-20,Algorand,404839030.0
2022-05-21,Algorand,425665103.0
2022-05-22,Algorand,425357143.0
2022-05-23,Algorand,425409732.0
2022-05-24,Algorand,430662557.0
2022-05-25,Algorand,428350826.0
2022-05-26,Algorand,428102725.0
2022-05-27,Algorand,418859604.0
2022-05-28,Algorand,418039873.0
2022-05-29,Algorand,417620757.0
2022-05-30,Algorand,417757280.0
2022-05-31,Algorand,414638296.0
2022-06-01,Algorand,416718133.0
2022-06-02,Algorand,414246892.0
2022-06-03,Algorand,414188531.0
2022-06-04,Algorand,417973514.0
2022-06-05,Algorand,416719658.0
2022-06-06,Algorand,414367093.0
2022-06-07,Algorand,415650267.0
2022-06-08,Algorand,414520852.0
2022-06-09,Algorand,419734367.0
2022-06-10,Algorand,415489047.0
2022-06-11,Algorand,416471529.0
2022-06-12,Algorand,416381900.0
2022-06-13,Algorand,416464101.0
2022-06-14,Algorand,414057318.0
2022-06-15,Algorand,412026095.0
2022-06-16,Algorand,411575756.0
2022-06-17,Algorand,413591981.0
2022-06-18,Algorand,412300725.0
2022-06-19,Algorand,417229421.0
2022-06-20,Algorand,418373234.0
2022-06-21,Algorand,415693902.0
2022-06-22,Algorand,414142017.0
2022-06-23,Algorand,413322266.0
2022-06-24,Algorand,415972809.0
2022-06-25,Algorand,420929749.0
2022-06-26,Algorand,421032851.0
2022-06-27,Algorand,421021700.0
2022-06-28,Algorand,412506791.0
2022-06-29,Algorand,401953194.0
2022-06-30,Algorand,401665541.0
2022-07-01,Algorand,401085106.0
2022-07-02,Algorand,400465255.0
2022-07-03,Algorand,403004895.0
2022-07-04,Algorand,403000046.0
2022-07-05,Algorand,399182435.0
2022-07-06,Algorand,409581559.0
2022-07-07,Algorand,405350409.0
2022-07-08,Algorand,406968428.0
2022-07-09,Algorand,405205137.0
2022-07-10,Algorand,405472462.0
2022-07-11,Algorand,405641960.0
2022-07-12,Algorand,412509627.0
2022-07-13,Algorand,407363555.0
2022-07-14,Algorand,411776801.0
2022-07-15,Algorand,417439138.0
2022-07-16,Algorand,418668436.0
2022-07-17,Algorand,418433834.0
2022-07-18,Algorand,418349411.0
2022-07-19,Algorand,415865652.0
2022-07-20,Algorand,413077293.0
2022-07-21,Algorand,425986755.0
2022-07-22,Algorand,420466320.0
2022-07-23,Algorand,420607148.0
2022-07-24,Algorand,422951742.0
2022-07-25,Algorand,419363917.0
2022-07-26,Algorand,394672055.0
2022-07-27,Algorand,394425807.0
2022-07-28,Algorand,382424435.0
2022-07-29,Algorand,380976337.0
2022-07-30,Algorand,381182254.0
2022-07-31,Algorand,381451511.0
2022-08-01,Algorand,381441568.0
2022-08-02,Algorand,387081292.0
2022-08-03,Algorand,420937983.0
2022-08-04,Algorand,421193363.0
2022-08-05,Algorand,381918370.0
2022-08-06,Algorand,383003833.0
2022-08-07,Algorand,380958316.0
2022-08-08,Algorand,380385337.0
2022-08-09,Algorand,379555904.0
2022-08-10,Algorand,399250821.0
2022-08-11,Algorand,338336613.0
2022-08-12,Algorand,339184423.0
2022-08-13,Algorand,340187979.0
2022-08-14,Algorand,338715293.0
2022-08-15,Algorand,339018221.0
2022-08-16,Algorand,340922802.0
2022-08-17,Algorand,339805513.0
2022-08-18,Algorand,338600529.0
2022-08-19,Algorand,339712047.0
2022-08-20,Algorand,341791661.0
2022-08-21,Algorand,341191979.0
2022-08-22,Algorand,347142440.0
2022-08-23,Algorand,340935787.0
2022-08-24,Algorand,339660184.0
2022-08-25,Algorand,340793595.0
2022-08-26,Algorand,341493253.0
2022-08-27,Algorand,340666851.0
2022-08-28,Algorand,339955818.0
2022-08-29,Algorand,339233356.0
2022-08-30,Algorand,340826512.0
2022-08-31,Algorand,342163669.0
2022-09-01,Algorand,342658942.0
2022-09-02,Algorand,338605813.0
2022-09-03,Algorand,342474761.0
2022-09-04,Algorand,338473930.0
2022-09-05,Algorand,338483170.0
2022-09-06,Algorand,337676603.0
2022-09-07,Algorand,339265375.0
2022-09-08,Algorand,346036566.0
2022-09-09,Algorand,340580928.0
2022-09-10,Algorand,332314149.0
2022-09-11,Algorand,334192602.0
2022-09-12,Algorand,332856590.0
2022-09-13,Algorand,335121519.0
2022-09-14,Algorand,333702492.0
2022-09-15,Algorand,342208460.0
2022-09-16,Algorand,335645540.0
2022-09-17,Algorand,332867723.0
2022-09-18,Algorand,332560179.0
2022-09-19,Algorand,332481560.0
2022-09-20,Algorand,330601537.0
2022-09-21,Algorand,333584760.0
2022-09-22,Algorand,332805015.0
2022-09-23,Algorand,330467098.0
2022-09-24,Algorand,333726994.0
2022-09-25,Algorand,333619842.0
2022-09-26,Algorand,330413965.0
2022-09-27,Algorand,333136237.0
2022-09-28,Algorand,338269423.0
2022-09-29,Algorand,337818796.0
2022-09-30,Algorand,332846584.0
2022-10-01,Algorand,335442192.0
2022-10-02,Algorand,333746128.0
2022-10-03,Algorand,333703713.0
2022-10-04,Algorand,332442176.0
2022-10-05,Algorand,338081220.0
2022-10-06,Algorand,340898878.0
2022-10-07,Algorand,342401072.0
2022-10-08,Algorand,347324687.0
2022-10-09,Algorand,340318332.0
2022-10-10,Algorand,340260519.0
2022-10-11,Algorand,340315049.0
2022-10-12,Algorand,340435281.0
2022-10-13,Algorand,340413218.0
2022-10-14,Algorand,336917969.0
2022-10-15,Algorand,338219137.0
2022-10-16,Algorand,337853916.0
2022-10-17,Algorand,337508118.0
2022-10-18,Algorand,336796496.0
2022-10-19,Algorand,336152605.0
2022-10-20,Algorand,338900718.0
2022-10-21,Algorand,333268396.0
2022-10-22,Algorand,338479339.0
2022-10-23,Algorand,338116974.0
2022-10-24,Algorand,337758866.0
2022-10-25,Algorand,337545374.0
2022-10-26,Algorand,338164340.0
2022-10-27,Algorand,334684503.0
2022-10-28,Algorand,336828283.0
2022-10-29,Algorand,333399863.0
2022-10-30,Algorand,333414039.0
2022-10-31,Algorand,332984932.0
2022-11-01,Algorand,334046177.0
2022-11-02,Algorand,338926713.0
2022-11-03,Algorand,342287638.0
2022-11-04,Algorand,341240190.0
2022-11-05,Algorand,341701966.0
2022-11-06,Algorand,341362976.0
2022-11-07,Algorand,344188162.0
2022-11-08,Algorand,344148352.0
2022-11-09,Algorand,346704445.0
2022-11-10,Algorand,346344806.0
2022-11-11,Algorand,337947380.0
2022-11-12,Algorand,343665551.0
2022-11-13,Algorand,344494288.0
2022-11-14,Algorand,346909638.0
2022-11-15,Algorand,343241890.0
2022-11-16,Algorand,345220749.0
2022-11-17,Algorand,342412482.0
2022-11-18,Algorand,320805264.0
2022-11-19,Algorand,335846279.0
2022-11-20,Algorand,331622354.0
2022-11-21,Algorand,321484794.0
2022-11-22,Algorand,328536602.0
2022-11-23,Algorand,320988059.0
2022-11-24,Algorand,320273866.0
2022-11-25,Algorand,323394663.0
2022-11-26,Algorand,323682233.0
2022-11-27,Algorand,323606761.0
2022-11-28,Algorand,323631442.0
2022-11-29,Algorand,323253645.0
2022-11-30,Algorand,318585241.0
2022-12-01,Algorand,314881798.0
2022-12-02,Algorand,314922620.0
2022-12-03,Algorand,312177493.0
2022-12-04,Algorand,312224191.0
2022-12-05,Algorand,312203174.0
2022-12-06,Algorand,315160524.0
2022-12-07,Algorand,314647017.0
2022-12-08,Algorand,311346007.0
2022-12-09,Algorand,312590926.0
2022-12-10,Algorand,307847932.0
2022-12-11,Algorand,307713604.0
2022-12-12,Algorand,307674045.0
2022-12-13,Algorand,304598629.0
2022-12-14,Algorand,303983080.0
2022-12-15,Algorand,302132184.0
2022-12-16,Algorand,300784608.0
2022-12-17,Algorand,304796766.0
2022-12-18,Algorand,303825353.0
2022-12-19,Algorand,303802925.0
2022-12-20,Algorand,301171120.0
2022-12-21,Algorand,291381553.0
2022-12-22,Algorand,287621113.0
2022-12-23,Algorand,278214227.0
2022-12-24,Algorand,276497471.0
2022-12-25,Algorand,276365696.0
2022-12-26,Algorand,276343445.0
2022-12-27,Algorand,276303091.0
2022-12-28,Algorand,276025999.0
2022-12-29,Algorand,280733498.0
2022-12-30,Algorand,287247483.0
2022-12-31,Algorand,269395114.0
2023-01-01,Algorand,267560866.0
2023-01-02,Algorand,266877799.0
2023-01-03,Algorand,262453376.0
2023-01-04,Algorand,262047361.0
2023-01-05,Algorand,255056836.0
2023-01-06,Algorand,255913263.0
2023-01-07,Algorand,254654898.0
2023-01-08,Algorand,254649761.0
2023-01-09,Algorand,254681840.0
2023-01-10,Algorand,255990296.0
2023-01-11,Algorand,254846406.0
2023-01-12,Algorand,256166503.0
