date,chain,peg,total_circulating_usd
2022-07-10,Algorand,peggedEUR,10130.0
2022-07-11,Algorand,peggedEUR,9979.0
2022-07-12,Algorand,peggedEUR,9946.0
2022-07-13,Algorand,peggedEUR,9968.0
2022-07-14,Algorand,peggedEUR,10050.0
2022-07-15,Algorand,peggedEUR,10066.0
2022-07-16,Algorand,peggedEUR,10066.0
2022-07-17,Algorand,peggedEUR,10117.0
2022-07-18,Algorand,peggedEUR,10113.0
2022-07-19,Algorand,peggedEUR,10207.0
2022-07-20,Algorand,peggedEUR,10281.0
2022-07-21,Algorand,peggedEUR,10269.0
2022-07-22,Algorand,peggedEUR,10261.0
2022-07-23,Algorand,peggedEUR,10272.0
2022-07-24,Algorand,peggedEUR,10286.0
2022-07-25,Algorand,peggedEUR,10286.0
2022-07-26,Algorand,peggedEUR,10252.0
2022-07-27,Algorand,peggedEUR,10223.0
2022-07-28,Algorand,peggedEUR,10230.0
2022-07-29,Algorand,peggedEUR,10172.0
2022-07-30,Algorand,peggedEUR,10210.0
2022-07-31,Algorand,peggedEUR,10243.0
2022-08-01,Algorand,peggedEUR,10248.0
2022-08-02,Algorand,peggedEUR,10297.0
2022-08-03,Algorand,peggedEUR,10250.0
2022-08-04,Algorand,peggedEUR,10152.0
2022-08-05,Algorand,peggedEUR,10220.0
2022-08-06,Algorand,peggedEUR,10181.0
2022-08-07,Algorand,peggedEUR,10181.0
2022-08-08,Algorand,peggedEUR,10169.0
2022-08-09,Algorand,peggedEUR,10202.0
2022-08-10,Algorand,peggedEUR,10191.0
2022-08-11,Algorand,peggedEUR,10251.0
2022-08-12,Algorand,peggedEUR,10310.0
2022-08-13,Algorand,peggedEUR,10244.0
2022-08-14,Algorand,peggedEUR,10235.0
2022-08-15,Algorand,peggedEUR,10240.0
2022-08-16,Algorand,peggedEUR,10195.0
2022-08-17,Algorand,peggedEUR,10131.0
2022-08-18,Algorand,peggedEUR,10125.0
2022-08-19,Algorand,peggedEUR,10121.0
2022-08-20,Algorand,peggedEUR,10078.0
2022-08-21,Algorand,peggedEUR,10001.0
2022-08-22,Algorand,peggedEUR,10050.0
2022-08-23,Algorand,peggedEUR,9982.0
2022-08-24,Algorand,peggedEUR,9955.0
2022-08-25,Algorand,peggedEUR,9944.0
2022-08-26,Algorand,peggedEUR,9994.0
2022-08-27,Algorand,peggedEUR,9999.0
2022-08-28,Algorand,peggedEUR,9999.0
2022-08-29,Algorand,peggedEUR,9980.0
2022-08-30,Algorand,peggedEUR,9972.0
2022-08-31,Algorand,peggedEUR,10009.0
2022-09-01,Algorand,peggedEUR,10006.0
2022-09-02,Algorand,peggedEUR,9999.0
2022-09-03,Algorand,peggedEUR,9958.0
2022-09-04,Algorand,peggedEUR,9935.0
2022-09-05,Algorand,peggedEUR,9920.0
2022-09-06,Algorand,peggedEUR,9973.0
2022-09-07,Algorand,peggedEUR,9872.0
2022-09-08,Algorand,peggedEUR,9959.0
2022-09-09,Algorand,peggedEUR,9952.0
2022-09-10,Algorand,peggedEUR,10044.0
2022-09-11,Algorand,peggedEUR,10020.0
2022-09-12,Algorand,peggedEUR,10010.0
2022-09-13,Algorand,peggedEUR,10094.0
2022-09-14,Algorand,peggedEUR,9970.0
2022-09-15,Algorand,peggedEUR,9952.0
2022-09-16,Algorand,peggedEUR,9968.0
2022-09-17,Algorand,peggedEUR,9950.0
2022-09-18,Algorand,peggedEUR,9972.0
2022-09-19,Algorand,peggedEUR,9950.0
2022-09-20,Algorand,peggedEUR,9996.0
2022-09-21,Algorand,peggedEUR,9989.0
2022-09-22,Algorand,peggedEUR,9845.0
2022-09-23,Algorand,peggedEUR,9849.0
2022-09-24,Algorand,peggedEUR,9695.0
2022-09-25,Algorand,peggedEUR,9707.0
2022-09-26,Algorand,peggedEUR,9695.0
2022-09-27,Algorand,peggedEUR,9611.0
2022-09-28,Algorand,peggedEUR,9576.0
2022-09-29,Algorand,peggedEUR,9674.0
2022-09-30,Algorand,peggedEUR,9748.0
2022-10-01,Algorand,peggedEUR,9752.0
2022-10-02,Algorand,peggedEUR,9750.0
2022-10-03,Algorand,peggedEUR,9652.0
2022-10-04,Algorand,peggedEUR,9723.0
2022-10-05,Algorand,peggedEUR,9908.0
2022-10-06,Algorand,peggedEUR,9837.0
2022-10-07,Algorand,peggedEUR,9793.0
2022-10-08,Algorand,peggedEUR,9743.0
2022-10-09,Algorand,peggedEUR,9732.0
2022-10-10,Algorand,peggedEUR,9713.0
2022-10-11,Algorand,peggedEUR,9713.0
2022-10-12,Algorand,peggedEUR,9738.0
2022-10-13,Algorand,peggedEUR,9675.0
2022-10-14,Algorand,peggedEUR,9734.0
2022-10-15,Algorand,peggedEUR,9685.0
2022-10-16,Algorand,peggedEUR,9666.0
2022-10-17,Algorand,peggedEUR,9677.0
2022-10-18,Algorand,peggedEUR,9764.0
2022-10-19,Algorand,peggedEUR,9802.0
2022-10-20,Algorand,peggedEUR,9751.0
2022-10-21,Algorand,peggedEUR,9786.0
2022-10-22,Algorand,peggedEUR,9814.0
2022-10-23,Algorand,peggedEUR,9823.0
2022-10-24,Algorand,peggedEUR,9841.0
2022-10-25,Algorand,peggedEUR,9839.0
2022-10-26,Algorand,peggedEUR,9930.0
2022-10-27,Algorand,peggedEUR,10033.0
2022-10-28,Algorand,peggedEUR,9982.0
2022-10-29,Algorand,peggedEUR,9929.0
2022-10-30,Algorand,peggedEUR,9960.0
2022-10-31,Algorand,peggedEUR,9980.0
2022-11-01,Algorand,peggedEUR,9922.0
2022-11-02,Algorand,peggedEUR,9868.0
2022-11-03,Algorand,peggedEUR,9886.0
2022-11-04,Algorand,peggedEUR,9802.0
2022-11-05,Algorand,peggedEUR,9908.0
2022-11-06,Algorand,peggedEUR,9964.0
2022-11-07,Algorand,peggedEUR,9909.0
2022-11-08,Algorand,peggedEUR,9971.0
2022-11-09,Algorand,peggedEUR,10011.0
2022-11-10,Algorand,peggedEUR,9896.0
2022-11-11,Algorand,peggedEUR,10099.0
2022-11-12,Algorand,peggedEUR,10163.0
2022-11-13,Algorand,peggedEUR,10224.0
2022-11-14,Algorand,peggedEUR,10251.0
2022-11-15,Algorand,peggedEUR,10217.0
2022-11-16,Algorand,peggedEUR,10259.0
2022-11-17,Algorand,peggedEUR,10259.0
2022-11-18,Algorand,peggedEUR,10254.0
2022-11-19,Algorand,peggedEUR,10238.0
2022-11-20,Algorand,peggedEUR,10306.0
2022-11-21,Algorand,peggedEUR,10204.0
2022-11-22,Algorand,peggedEUR,10152.0
2022-11-23,Algorand,peggedEUR,10171.0
2022-11-24,Algorand,peggedEUR,10247.0
2022-11-25,Algorand,peggedEUR,10302.0
2022-11-26,Algorand,peggedEUR,10275.0
2022-11-27,Algorand,peggedEUR,10218.0
2022-11-28,Algorand,peggedEUR,10217.0
2022-11-29,Algorand,peggedEUR,10259.0
2022-11-30,Algorand,peggedEUR,10238.0
2022-12-01,Algorand,peggedEUR,10249.0
2022-12-02,Algorand,peggedEUR,10298.0
2022-12-03,Algorand,peggedEUR,10303.0
2022-12-04,Algorand,peggedEUR,10303.0
2022-12-05,Algorand,peggedEUR,10303.0
2022-12-06,Algorand,peggedEUR,10365.0
2022-12-07,Algorand,peggedEUR,10370.0
2022-12-08,Algorand,peggedEUR,10395.0
2022-12-09,Algorand,peggedEUR,10434.0
2022-12-10,Algorand,peggedEUR,10445.0
2022-12-11,Algorand,peggedEUR,10444.0
2022-12-12,Algorand,peggedEUR,10459.0
2022-12-13,Algorand,peggedEUR,10476.0
2022-12-14,Algorand,peggedEUR,10648.0
2022-12-15,Algorand,peggedEUR,10692.0
2022-12-16,Algorand,peggedEUR,10621.0
2022-12-17,Algorand,peggedEUR,10621.0
2022-12-18,Algorand,peggedEUR,10577.0
2022-12-19,Algorand,peggedEUR,10595.0
2022-12-20,Algorand,peggedEUR,10628.0
2022-12-21,Algorand,peggedEUR,10626.0
2022-12-22,Algorand,peggedEUR,10605.0
2022-12-23,Algorand,peggedEUR,10573.0
2022-12-24,Algorand,peggedEUR,10600.0
2022-12-25,Algorand,peggedEUR,10610.0
2022-12-26,Algorand,peggedEUR,10610.0
2022-12-27,Algorand,peggedEUR,10611.0
2022-12-28,Algorand,peggedEUR,10621.0
2022-12-29,Algorand,peggedEUR,10647.0
2022-12-30,Algorand,peggedEUR,10661.0
2022-12-31,Algorand,peggedEUR,10684.0
2023-01-01,Algorand,peggedEUR,10738.0
2023-01-02,Algorand,peggedEUR,10752.0
2023-01-03,Algorand,peggedEUR,10746.0
2023-01-04,Algorand,peggedEUR,10581.0
2023-01-05,Algorand,peggedEUR,10666.0
2023-01-06,Algorand,peggedEUR,10634.0
2023-01-07,Algorand,peggedEUR,10680.0
2023-01-08,Algorand,peggedEUR,10680.0
2023-01-09,Algorand,peggedEUR,10666.0
2023-01-10,Algorand,peggedEUR,10753.0
2023-01-11,Algorand,peggedEUR,10786.0
2023-01-12,Algorand,peggedEUR,10804.0
2023-01-13,Algorand,peggedEUR,10915.0
2023-01-14,Algorand,peggedEUR,10917.0
2023-01-15,Algorand,peggedEUR,10921.0
2023-01-16,Algorand,peggedEUR,10902.0
2023-01-17,Algorand,peggedEUR,10845.0
2023-01-18,Algorand,peggedEUR,10826.0
2023-01-19,Algorand,peggedEUR,10918.0
2023-01-20,Algorand,peggedEUR,10842.0
2023-01-21,Algorand,peggedEUR,10894.0
2023-01-22,Algorand,peggedEUR,10960.0
2023-01-23,Algorand,peggedEUR,10931.0
2023-01-24,Algorand,peggedEUR,10984.0
2023-01-25,Algorand,peggedEUR,10952.0
2023-01-26,Algorand,peggedEUR,10966.0
2023-01-27,Algorand,peggedEUR,10944.0
2023-01-28,Algorand,peggedEUR,10985.0
2023-01-29,Algorand,peggedEUR,11005.0
2023-01-30,Algorand,peggedEUR,10999.0
2023-01-31,Algorand,peggedEUR,11014.0
2023-02-01,Algorand,peggedEUR,10968.0
2023-02-02,Algorand,peggedEUR,11043.0
2023-02-03,Algorand,peggedEUR,11052.0
2023-02-04,Algorand,peggedEUR,10969.0
2023-02-05,Algorand,peggedEUR,10959.0
2023-02-06,Algorand,peggedEUR,10933.0
2023-02-07,Algorand,peggedEUR,10857.0
2023-02-08,Algorand,peggedEUR,10888.0
2023-02-09,Algorand,peggedEUR,10872.0
2023-02-10,Algorand,peggedEUR,10821.0
2023-02-11,Algorand,peggedEUR,10814.0
2023-02-12,Algorand,peggedEUR,10814.0
2023-02-13,Algorand,peggedEUR,10749.0
2023-02-14,Algorand,peggedEUR,10791.0
2023-02-15,Algorand,peggedEUR,10812.0
2023-02-16,Algorand,peggedEUR,10805.0
2023-02-17,Algorand,peggedEUR,10756.0
2023-02-18,Algorand,peggedEUR,10726.0
2023-02-19,Algorand,peggedEUR,10740.0
2023-02-20,Algorand,peggedEUR,10743.0
2023-02-21,Algorand,peggedEUR,10730.0
2023-02-22,Algorand,peggedEUR,10679.0
2023-02-23,Algorand,peggedEUR,10572.0
2023-02-24,Algorand,peggedEUR,10593.0
2023-02-25,Algorand,peggedEUR,10557.0
2023-02-26,Algorand,peggedEUR,10490.0
2023-02-27,Algorand,peggedEUR,10490.0
2023-02-28,Algorand,peggedEUR,10514.0
2023-03-01,Algorand,peggedEUR,10546.0
2023-03-02,Algorand,peggedEUR,10600.0
