date,chain,fees_usd
2021-08-31,arbitrum,69.0
2021-09-01,arbitrum,16419.0
2021-09-02,arbitrum,5418.0
2021-09-03,arbitrum,9119.0
2021-09-04,arbitrum,10157.0
2021-09-05,arbitrum,9981.0
2021-09-06,arbitrum,76645.0
2021-09-07,arbitrum,50999.0
2021-09-08,arbitrum,36412.0
2021-09-09,arbitrum,21764.0
2021-09-10,arbitrum,54859.0
2021-09-11,arbitrum,390460.0
2021-09-12,arbitrum,615101.0
2021-09-13,arbitrum,232593.0
2021-09-14,arbitrum,279446.0
2021-09-15,arbitrum,312322.0
2021-09-16,arbitrum,317073.0
2021-09-17,arbitrum,177020.0
2021-09-18,arbitrum,167403.0
2021-09-19,arbitrum,143578.0
2021-09-20,arbitrum,355316.0
2021-09-21,arbitrum,331600.0
2021-09-22,arbitrum,212240.0
2021-09-23,arbitrum,207232.0
2021-09-24,arbitrum,292210.0
2021-09-25,arbitrum,132205.0
2021-09-26,arbitrum,216277.0
2021-09-27,arbitrum,181607.0
2021-09-28,arbitrum,218384.0
2021-09-29,arbitrum,118226.0
2021-09-30,arbitrum,109280.0
2021-10-01,arbitrum,139744.0
2021-10-02,arbitrum,121054.0
2021-10-03,arbitrum,164285.0
2021-10-04,arbitrum,183439.0
2021-10-05,arbitrum,284351.0
2021-10-06,arbitrum,242245.0
2021-10-07,arbitrum,192539.0
2021-10-08,arbitrum,215017.0
2021-10-09,arbitrum,339766.0
2021-10-10,arbitrum,187690.0
2021-10-11,arbitrum,232569.0
2021-10-12,arbitrum,227385.0
2021-10-13,arbitrum,220080.0
2021-10-14,arbitrum,263584.0
2021-10-15,arbitrum,283791.0
2021-10-16,arbitrum,162921.0
2021-10-17,arbitrum,307960.0
2021-10-18,arbitrum,249099.0
2021-10-19,arbitrum,209034.0
2021-10-20,arbitrum,309872.0
2021-10-21,arbitrum,428005.0
2021-10-22,arbitrum,270732.0
2021-10-23,arbitrum,197917.0
2021-10-24,arbitrum,210421.0
2021-10-25,arbitrum,286174.0
2021-10-26,arbitrum,291653.0
2021-10-27,arbitrum,465129.0
2021-10-28,arbitrum,372740.0
2021-10-29,arbitrum,340336.0
2021-10-30,arbitrum,226460.0
2021-10-31,arbitrum,461963.0
2021-11-01,arbitrum,266951.0
2021-11-02,arbitrum,375110.0
2021-11-03,arbitrum,295470.0
2021-11-04,arbitrum,369668.0
2021-11-05,arbitrum,235002.0
2021-11-06,arbitrum,319625.0
2021-11-07,arbitrum,243510.0
2021-11-08,arbitrum,381047.0
2021-11-09,arbitrum,288132.0
2021-11-10,arbitrum,474812.0
2021-11-11,arbitrum,296766.0
2021-11-12,arbitrum,551948.0
2021-11-13,arbitrum,139999.0
2021-11-14,arbitrum,294849.0
2021-11-15,arbitrum,307200.0
2021-11-16,arbitrum,678249.0
2021-11-17,arbitrum,292746.0
2021-11-18,arbitrum,385135.0
2021-11-19,arbitrum,264938.0
2021-11-20,arbitrum,315308.0
2021-11-21,arbitrum,224462.0
2021-11-22,arbitrum,307077.0
2021-11-23,arbitrum,332216.0
2021-11-24,arbitrum,354683.0
2021-11-25,arbitrum,353835.0
2021-11-26,arbitrum,644814.0
2021-11-27,arbitrum,270541.0
2021-11-28,arbitrum,309612.0
2021-11-29,arbitrum,326260.0
2021-11-30,arbitrum,376671.0
2021-12-01,arbitrum,324165.0
2021-12-02,arbitrum,307443.0
2021-12-03,arbitrum,485514.0
2021-12-04,arbitrum,662227.0
2021-12-05,arbitrum,232396.0
2021-12-06,arbitrum,346396.0
2021-12-07,arbitrum,219286.0
2021-12-08,arbitrum,318996.0
2021-12-09,arbitrum,292237.0
2021-12-10,arbitrum,308328.0
2021-12-11,arbitrum,180273.0
2021-12-12,arbitrum,161366.0
2021-12-13,arbitrum,395737.0
2021-12-14,arbitrum,222804.0
2021-12-15,arbitrum,348185.0
2021-12-16,arbitrum,199363.0
2021-12-17,arbitrum,233683.0
2021-12-18,arbitrum,177840.0
2021-12-19,arbitrum,179371.0
2021-12-20,arbitrum,270553.0
2021-12-21,arbitrum,169468.0
2021-12-22,arbitrum,190514.0
2021-12-23,arbitrum,300485.0
2021-12-24,arbitrum,174778.0
2021-12-25,arbitrum,116274.0
2021-12-26,arbitrum,118005.0
2021-12-27,arbitrum,172424.0
2021-12-28,arbitrum,361533.0
2021-12-29,arbitrum,292554.0
2021-12-30,arbitrum,212991.0
2021-12-31,arbitrum,286439.0
2022-01-01,arbitrum,248498.0
2022-01-02,arbitrum,295782.0
2022-01-03,arbitrum,529224.0
2022-01-04,arbitrum,646467.0
2022-01-05,arbitrum,1033530.0
2022-01-06,arbitrum,661792.0
2022-01-07,arbitrum,902890.0
2022-01-08,arbitrum,660064.0
2022-01-09,arbitrum,267941.0
2022-01-10,arbitrum,698770.0
2022-01-11,arbitrum,494899.0
2022-01-12,arbitrum,465049.0
2022-01-13,arbitrum,409602.0
2022-01-14,arbitrum,467322.0
2022-01-15,arbitrum,481383.0
2022-01-16,arbitrum,483955.0
2022-01-17,arbitrum,693891.0
2022-01-18,arbitrum,642573.0
2022-01-19,arbitrum,483842.0
2022-01-20,arbitrum,739662.0
2022-01-21,arbitrum,1439113.0
2022-01-22,arbitrum,921780.0
2022-01-23,arbitrum,470259.0
2022-01-24,arbitrum,1258733.0
2022-01-25,arbitrum,807440.0
2022-01-26,arbitrum,948338.0
2022-01-27,arbitrum,779440.0
2022-01-28,arbitrum,554855.0
2022-01-29,arbitrum,421501.0
2022-01-30,arbitrum,586356.0
2022-01-31,arbitrum,552368.0
2022-02-01,arbitrum,413464.0
2022-02-02,arbitrum,609242.0
2022-02-03,arbitrum,416407.0
2022-02-04,arbitrum,608051.0
2022-02-05,arbitrum,346297.0
2022-02-06,arbitrum,366017.0
2022-02-07,arbitrum,668276.0
2022-02-08,arbitrum,426598.0
2022-02-09,arbitrum,431869.0
2022-02-10,arbitrum,630663.0
2022-02-11,arbitrum,624057.0
2022-02-12,arbitrum,334885.0
2022-02-13,arbitrum,287000.0
2022-02-14,arbitrum,456534.0
2022-02-15,arbitrum,370703.0
2022-02-16,arbitrum,353536.0
2022-02-17,arbitrum,337724.0
2022-02-18,arbitrum,290374.0
2022-02-19,arbitrum,221681.0
2022-02-20,arbitrum,382088.0
2022-02-21,arbitrum,418071.0
2022-02-22,arbitrum,563952.0
2022-02-23,arbitrum,313724.0
2022-02-24,arbitrum,1282166.0
2022-02-25,arbitrum,466270.0
2022-02-26,arbitrum,317442.0
2022-02-27,arbitrum,442357.0
2022-02-28,arbitrum,541043.0
2022-03-01,arbitrum,469250.0
2022-03-02,arbitrum,565294.0
2022-03-03,arbitrum,780146.0
2022-03-04,arbitrum,510663.0
2022-03-05,arbitrum,183422.0
2022-03-06,arbitrum,556089.0
2022-03-07,arbitrum,492175.0
2022-03-08,arbitrum,404341.0
2022-03-09,arbitrum,422502.0
2022-03-10,arbitrum,480258.0
2022-03-11,arbitrum,388991.0
2022-03-12,arbitrum,120634.0
2022-03-13,arbitrum,128503.0
2022-03-14,arbitrum,216252.0
2022-03-15,arbitrum,180413.0
2022-03-16,arbitrum,403302.0
2022-03-17,arbitrum,162869.0
2022-03-18,arbitrum,372444.0
2022-03-19,arbitrum,205612.0
2022-03-20,arbitrum,158936.0
2022-03-21,arbitrum,270560.0
2022-03-22,arbitrum,762361.0
2022-03-23,arbitrum,411029.0
2022-03-24,arbitrum,488439.0
2022-03-25,arbitrum,371104.0
2022-03-26,arbitrum,177133.0
2022-03-27,arbitrum,364443.0
2022-03-28,arbitrum,419445.0
2022-03-29,arbitrum,526647.0
2022-03-30,arbitrum,371948.0
2022-03-31,arbitrum,702588.0
2022-04-01,arbitrum,638291.0
2022-04-02,arbitrum,475276.0
2022-04-03,arbitrum,452425.0
