id,name,symbol,pegType,pegMechanism,gecko_id,chains
133,NARS,NARS,peggedARS,fiat-backed,num-ars,Polygon
165,AUDD,AUDD,peggedAUD,fiat-backed,novatti-australian-digital-dollar,"Stellar,Ethereum,Solana"
145,CAD Coin,CADC,peggedCAD,fiat-backed,cad-coin,"Ethereum,Base,Polygon,Arbitrum"
200,Hedera Swiss Franc,HCHF,peggedCHF,crypto-backed,hedera-swiss-franc,Hedera
157,VNX Swiss Franc,VCHF,peggedCHF,fiat-backed,vnx-swiss-franc,"Solana,Avalanche,Base,Ethereum,Stellar,Celo,Polygon,Arbitrum,Tezos,Fraxtal,Q"
226,Frankencoin,ZCHF,peggedCHF,crypto-backed,frankencoin,"Ethereum,Base,Gnosis,Polygon,OP Mainnet,Arbitrum,Avalanche,Sonic"
280,Tether CNH,CNHT,peggedCNY,fiat-backed,cnh-tether,"Tron,Ethereum"
127,Alternity CNY,LCNY,peggedCNY,crypto-backed,,Ethereum
147,Anchored Coins AEUR,AEUR,peggedEUR,fiat-backed,anchored-coins-eur,"Ethereum,BSC"
52,Celo Euro,CEUR,peggedEUR,algorithmic,celo-euro,"Celo,Solana,Polygon,Ethereum"
55,EURA,EURA,peggedEUR,crypto-backed,ageur,"Ethereum,Arbitrum,Polygon,OP Mainnet,Fantom,Solana,Fuse,Aurora,zkSync Lite"
319,AllUnity EUR,EURAU,peggedEUR,fiat-backed,allunity-eur,"Ethereum,Base,OP Mainnet,Polygon"
50,EURC,EURC,peggedEUR,fiat-backed,euro-coin,"Ethereum,Base,Solana,Avalanche,Stellar,Sonic,Polygon,Cardano,ICP"
254,EUR CoinVertible,EURCV,peggedEUR,fiat-backed,societe-generale-forge-eurcv,"Ethereum,Solana"
161,Quantoz EURD,EURD,peggedEUR,fiat-backed,quantoz-eurd,Algorand
101,Monerium EUR emoney,EURE,peggedEUR,fiat-backed,monerium-eur-money,"Gnosis,Ethereum,Polygon,Arbitrum,Linea,Noble,Algorand,Scroll"
170,EURO3,EURO3,peggedEUR,crypto-backed,,"Linea,Polygon"
247,Schuman EUROP,EUROP,peggedEUR,fiat-backed,schuman-europ,"Ethereum,Polygon"
98,EUROe Stablecoin,EUROe,peggedEUR,fiat-backed,,"Solana,Polygon,Ethereum,Arbitrum,Avalanche,OP Mainnet,Concordium"
274,Quantoz EURQ,EURQ,peggedEUR,fiat-backed,quantoz-eurq,Algorand
239,StablR Euro,EURR,peggedEUR,fiat-backed,stablr-euro,"Ethereum,Solana"
51,Stasis Euro,EURS,peggedEUR,fiat-backed,stasis-eurs,"Ethereum,Polygon,Stellar,Algorand,Gnosis,Everscale"
49,Euro Tether,EURT,peggedEUR,fiat-backed,tether-eurt,"Ethereum,Polygon"
91,Iron Bank EURO,IBEUR,peggedEUR,crypto-backed,iron-bank-euro,Ethereum
56,Parallel,PAR,peggedEUR,crypto-backed,par-stablecoin,"Ethereum,Polygon,Fantom"
53,sEUR,SEUR,peggedEUR,crypto-backed,seur,"Ethereum,OP Mainnet"
158,VNX EURO,VEUR,peggedEUR,fiat-backed,vnx-euro,"Solana,Avalanche,Stellar,Base,Ethereum,Celo,Polygon,Arbitrum,Tezos,Fraxtal,Q"
139,ARYZE eEUR,eEUR,peggedEUR,fiat-backed,aryze-eeur,"Polygon,BSC,Ethereum"
292,VNX British Pound,VGBP,peggedGBP,fiat-backed,vnx-british-pound,"Base,Solana,Celo,Ethereum"
140,ARYZE eGBP,eGBP,peggedGBP,fiat-backed,aryze-egbp,"Polygon,BSC,Ethereum"
317,Tokenised GBP,tGBP,peggedGBP,fiat-backed,,"Ethereum,Base,Avalanche,BSC,Polygon,Solana"
179,CJPY,CJPY,peggedJPY,crypto-backed,convertible-jpy-token,Ethereum
122,GYEN,GYEN,peggedJPY,fiat-backed,gyen,"Ethereum,Stellar,Solana,Arbitrum,OP Mainnet"
281,Mexican Peso Tether,MXNT,peggedMXN,fiat-backed,mexican-peso-tether,Ethereum
299,PHT Stablecoin,PHT,peggedPHP,crypto-backed,pht-stablecoin,"Ethereum,Tron,Polygon"
249,Brazilian Digital,BRZ,peggedREAL,fiat-backed,brz,"Solana,Polygon,Ethereum,BSC,Base,Gnosis,Avalanche,Celo,OP Mainnet,Moonbeam,Arbitrum,Mantle,Rootstock,Tron"
199,Celo Real,CREAL,peggedREAL,crypto-backed,celo-real-creal,Celo
258,A7A5,A7A5,peggedRUB,fiat-backed,a7a5,"Tron,Ethereum"
289,XSGD,XSGD,peggedSGD,fiat-backed,xsgd,"Ethereum,Polygon,Avalanche,Zilliqa,Arbitrum,Hedera,XRPL"
300,Bilira,TRYB,peggedTRY,fiat-backed,bilira,"Ethereum,Base,Polygon,Avalanche,BSC,Solana"
131,UAHT,UAHT,peggedUAH,fiat-backed,,Polygon
58,3USD,3USD,peggedUSD,crypto-backed,,Karura
20,Alchemix USD,ALUSD,peggedUSD,algorithmic,alchemix-usd,"Ethereum,OP Mainnet,Arbitrum,Fantom"
102,Offshift anonUSD,ANONUSD,peggedUSD,algorithmic,,Ethereum
82,arUSD,ARUSD,peggedUSD,crypto-backed,,Avalanche
205,Agora Dollar,AUSD,peggedUSD,fiat-backed,agora-dollar,"Solana,Ethereum,Avalanche,Sui,Polygon,Immutable zkEVM,Mantle,Arbitrum,Plume Mainnet,BSC,Core,Katana"
48,BAI Stablecoin,BAI,peggedUSD,crypto-backed,bai-stablecoin,Astar
94,BaoUSD,BAOUSD,peggedUSD,crypto-backed,,Ethereum
67,Bean,BEAN,peggedUSD,algorithmic,bean,Ethereum
293,Sigma Money bnbUSD,BNBUSD,peggedUSD,crypto-backed,sigma-bnb-usd,BSC
