date,peg,total_stablecoins_mcap_usd
2017-11-29,peggedUSD,110105.0
2017-11-30,peggedUSD,110105.0
2017-12-01,peggedUSD,110105.0
2017-12-02,peggedUSD,110105.0
2017-12-03,peggedUSD,110105.0
2017-12-04,peggedUSD,110105.0
2017-12-05,peggedUSD,110105.0
2017-12-06,peggedUSD,110105.0
2017-12-07,peggedUSD,110105.0
2017-12-08,peggedUSD,110105.0
2017-12-09,peggedUSD,110105.0
2017-12-10,peggedUSD,110105.0
2017-12-11,peggedUSD,110105.0
2017-12-12,peggedUSD,110105.0
2017-12-13,peggedUSD,110105.0
2017-12-14,peggedUSD,110105.0
2017-12-15,peggedUSD,110105.0
2017-12-16,peggedUSD,110105.0
2017-12-17,peggedUSD,110105.0
2017-12-18,peggedUSD,110105.0
2017-12-19,peggedUSD,110105.0
2017-12-20,peggedUSD,110105.0
2017-12-21,peggedUSD,110105.0
2017-12-22,peggedUSD,110105.0
2017-12-23,peggedUSD,110105.0
2017-12-24,peggedUSD,110105.0
2017-12-25,peggedUSD,110105.0
2017-12-26,peggedUSD,110105.0
2017-12-27,peggedUSD,110105.0
2017-12-28,peggedUSD,110105.0
2017-12-29,peggedUSD,110105.0
2017-12-30,peggedUSD,110105.0
2017-12-31,peggedUSD,110105.0
2018-01-01,peggedUSD,110105.0
2018-01-02,peggedUSD,110105.0
2018-01-03,peggedUSD,110105.0
2018-01-04,peggedUSD,110105.0
2018-01-05,peggedUSD,110105.0
2018-01-06,peggedUSD,110105.0
2018-01-07,peggedUSD,110105.0
2018-01-08,peggedUSD,110105.0
2018-01-09,peggedUSD,110105.0
2018-01-10,peggedUSD,110105.0
2018-01-11,peggedUSD,30146817.0
2018-01-12,peggedUSD,30146817.0
2018-01-13,peggedUSD,30146817.0
2018-01-14,peggedUSD,30146817.0
2018-01-15,peggedUSD,30146817.0
2018-01-16,peggedUSD,30146817.0
2018-01-17,peggedUSD,30146817.0
2018-01-18,peggedUSD,30146817.0
2018-01-19,peggedUSD,30146817.0
2018-01-20,peggedUSD,30146817.0
2018-01-21,peggedUSD,30146817.0
2018-01-22,peggedUSD,30146817.0
2018-01-23,peggedUSD,30146817.0
2018-01-24,peggedUSD,30146817.0
2018-01-25,peggedUSD,30146817.0
2018-01-26,peggedUSD,30146817.0
2018-01-27,peggedUSD,30146817.0
2018-01-28,peggedUSD,30146817.0
2018-01-29,peggedUSD,60183528.0
2018-01-30,peggedUSD,60183528.0
2018-01-31,peggedUSD,60183528.0
