anchor,month_end,const,log_DEX,z_DXY,z_VIX,log_S_nonUSD,Pol_anchor_l1,sigma_offpeg_l1,tail1_l1,dlog_usd_per_anchor,N_anchor_fc
AUD,2025-12-31,1.0,25.19540182523358,0.7270187893581846,-0.23390542818319165,20.834046696891072,1.0333333333333334,6.8980758922680945,0.967741935483871,-0.0010620022892219305,1
CAD,2025-12-31,1.0,25.19540182523358,0.7270187893581846,-0.23390542818319165,20.834046696891072,2.033333333333333,0.20263729279324139,0.9666666666666667,-0.005822031691538476,1
CHF,2025-12-31,1.0,25.19540182523358,0.7270187893581846,-0.23390542818319165,20.834046696891072,2.033333333333333,1.2454159654583514,1.0,-0.0028307697692661836,3
CNY,2025-12-31,1.0,25.19540182523358,0.7270187893581846,-0.23390542818319165,20.834046696891072,-0.9666666666666667,14.579921439716696,1.0,0.001101761436823212,1
EUR,2025-12-31,1.0,25.19540182523358,0.7270187893581846,-0.23390542818319165,20.834046696891072,3.033333333333333,9.318624958980376,0.9786407766990292,-0.0039465327746739665,16
GBP,2025-12-31,1.0,25.19540182523358,0.7270187893581846,-0.23390542818319165,20.834046696891072,2.033333333333333,3.725629465951672,1.0,-0.009480026943746823,2
JPY,2025-12-31,1.0,25.19540182523358,0.7270187893581846,-0.23390542818319165,20.834046696891072,3.033333333333333,5.12564168771965,1.0,-0.012305198001912387,2
SGD,2025-12-31,1.0,25.19540182523358,0.7270187893581846,-0.23390542818319165,20.834046696891072,2.033333333333333,0.1696914027499674,0.967741935483871,-0.004894686655439301,1
AUD,2026-01-31,1.0,25.16291509556487,0.7270187893581846,-0.15710466619812805,20.837293973059452,1.0666666666666667,6.8980758922680945,0.967741935483871,-0.0010620022892219305,1
CAD,2026-01-31,1.0,25.16291509556487,0.7270187893581846,-0.15710466619812805,20.837293973059452,2.066666666666667,0.20263729279324139,0.9666666666666667,-0.005822031691538476,1
CHF,2026-01-31,1.0,25.16291509556487,0.7270187893581846,-0.15710466619812805,20.837293973059452,2.066666666666667,1.2454159654583514,1.0,-0.0028307697692661836,3
CNY,2026-01-31,1.0,25.16291509556487,0.7270187893581846,-0.15710466619812805,20.837293973059452,-0.9333333333333333,14.579921439716696,1.0,0.001101761436823212,1
EUR,2026-01-31,1.0,25.16291509556487,0.7270187893581846,-0.15710466619812805,20.837293973059452,3.066666666666667,9.318624958980376,0.9786407766990292,-0.0039465327746739665,16
GBP,2026-01-31,1.0,25.16291509556487,0.7270187893581846,-0.15710466619812805,20.837293973059452,2.066666666666667,3.725629465951672,1.0,-0.009480026943746823,2
JPY,2026-01-31,1.0,25.16291509556487,0.7270187893581846,-0.15710466619812805,20.837293973059452,3.066666666666667,5.12564168771965,1.0,-0.012305198001912387,2
SGD,2026-01-31,1.0,25.16291509556487,0.7270187893581846,-0.15710466619812805,20.837293973059452,2.066666666666667,0.1696914027499674,0.967741935483871,-0.004894686655439301,1
AUD,2026-02-28,1.0,25.130428365896154,0.7270187893581846,-0.10552074970186118,20.84779661184968,1.1,6.8980758922680945,0.967741935483871,-0.0010620022892219305,1
CAD,2026-02-28,1.0,25.130428365896154,0.7270187893581846,-0.10552074970186118,20.84779661184968,2.1,0.20263729279324139,0.9666666666666667,-0.005822031691538476,1
CHF,2026-02-28,1.0,25.130428365896154,0.7270187893581846,-0.10552074970186118,20.84779661184968,2.1,1.2454159654583514,1.0,-0.0028307697692661836,3
CNY,2026-02-28,1.0,25.130428365896154,0.7270187893581846,-0.10552074970186118,20.84779661184968,-0.9,14.579921439716696,1.0,0.001101761436823212,1
EUR,2026-02-28,1.0,25.130428365896154,0.7270187893581846,-0.10552074970186118,20.84779661184968,3.1,9.318624958980376,0.9786407766990292,-0.0039465327746739665,16
GBP,2026-02-28,1.0,25.130428365896154,0.7270187893581846,-0.10552074970186118,20.84779661184968,2.1,3.725629465951672,1.0,-0.009480026943746823,2
JPY,2026-02-28,1.0,25.130428365896154,0.7270187893581846,-0.10552074970186118,20.84779661184968,3.1,5.12564168771965,1.0,-0.012305198001912387,2
SGD,2026-02-28,1.0,25.130428365896154,0.7270187893581846,-0.10552074970186118,20.84779661184968,2.1,0.1696914027499674,0.967741935483871,-0.004894686655439301,1
AUD,2026-03-31,1.0,25.097941636227443,0.7270187893581846,-0.07087395229623998,20.85845270107925,1.1333333333333333,6.8980758922680945,0.967741935483871,-0.0010620022892219305,1
CAD,2026-03-31,1.0,25.097941636227443,0.7270187893581846,-0.07087395229623998,20.85845270107925,2.1333333333333333,0.20263729279324139,0.9666666666666667,-0.005822031691538476,1
CHF,2026-03-31,1.0,25.097941636227443,0.7270187893581846,-0.07087395229623998,20.85845270107925,2.1333333333333333,1.2454159654583514,1.0,-0.0028307697692661836,3
CNY,2026-03-31,1.0,25.097941636227443,0.7270187893581846,-0.07087395229623998,20.85845270107925,-0.8666666666666667,14.579921439716696,1.0,0.001101761436823212,1
EUR,2026-03-31,1.0,25.097941636227443,0.7270187893581846,-0.07087395229623998,20.85845270107925,3.1333333333333333,9.318624958980376,0.9786407766990292,-0.0039465327746739665,16
GBP,2026-03-31,1.0,25.097941636227443,0.7270187893581846,-0.07087395229623998,20.85845270107925,2.1333333333333333,3.725629465951672,1.0,-0.009480026943746823,2
JPY,2026-03-31,1.0,25.097941636227443,0.7270187893581846,-0.07087395229623998,20.85845270107925,3.1333333333333333,5.12564168771965,1.0,-0.012305198001912387,2
SGD,2026-03-31,1.0,25.097941636227443,0.7270187893581846,-0.07087395229623998,20.85845270107925,2.1333333333333333,0.1696914027499674,0.967741935483871,-0.004894686655439301,1
AUD,2026-04-30,1.0,25.065454906558728,0.7270187893581846,-0.047603121928929036,20.866474872019275,1.1666666666666667,6.8980758922680945,0.967741935483871,-0.0010620022892219305,1
CAD,2026-04-30,1.0,25.065454906558728,0.7270187893581846,-0.047603121928929036,20.866474872019275,2.1666666666666665,0.20263729279324139,0.9666666666666667,-0.005822031691538476,1
CHF,2026-04-30,1.0,25.065454906558728,0.7270187893581846,-0.047603121928929036,20.866474872019275,2.1666666666666665,1.2454159654583514,1.0,-0.0028307697692661836,3
CNY,2026-04-30,1.0,25.065454906558728,0.7270187893581846,-0.047603121928929036,20.866474872019275,-0.8333333333333334,14.579921439716696,1.0,0.001101761436823212,1
EUR,2026-04-30,1.0,25.065454906558728,0.7270187893581846,-0.047603121928929036,20.866474872019275,3.1666666666666665,9.318624958980376,0.9786407766990292,-0.0039465327746739665,17
GBP,2026-04-30,1.0,25.065454906558728,0.7270187893581846,-0.047603121928929036,20.866474872019275,2.1666666666666665,3.725629465951672,1.0,-0.009480026943746823,2
JPY,2026-04-30,1.0,25.065454906558728,0.7270187893581846,-0.047603121928929036,20.866474872019275,3.1666666666666665,5.12564168771965,1.0,-0.012305198001912387,2
SGD,2026-04-30,1.0,25.065454906558728,0.7270187893581846,-0.047603121928929036,20.866474872019275,2.1666666666666665,0.1696914027499674,0.967741935483871,-0.004894686655439301,1
AUD,2026-05-31,1.0,25.032968176890016,0.7270187893581846,-0.031973061244119486,20.87112406869383,1.2,6.8980758922680945,0.967741935483871,-0.0010620022892219305,1
CAD,2026-05-31,1.0,25.032968176890016,0.7270187893581846,-0.031973061244119486,20.87112406869383,2.2,0.20263729279324139,0.9666666666666667,-0.005822031691538476,1
CHF,2026-05-31,1.0,25.032968176890016,0.7270187893581846,-0.031973061244119486,20.87112406869383,2.2,1.2454159654583514,1.0,-0.0028307697692661836,3
CNY,2026-05-31,1.0,25.032968176890016,0.7270187893581846,-0.031973061244119486,20.87112406869383,-0.8,14.579921439716696,1.0,0.001101761436823212,1
EUR,2026-05-31,1.0,25.032968176890016,0.7270187893581846,-0.031973061244119486,20.87112406869383,3.2,9.318624958980376,0.9786407766990292,-0.0039465327746739665,17
GBP,2026-05-31,1.0,25.032968176890016,0.7270187893581846,-0.031973061244119486,20.87112406869383,2.2,3.725629465951672,1.0,-0.009480026943746823,2
JPY,2026-05-31,1.0,25.032968176890016,0.7270187893581846,-0.031973061244119486,20.87112406869383,3.2,5.12564168771965,1.0,-0.012305198001912387,2
SGD,2026-05-31,1.0,25.032968176890016,0.7270187893581846,-0.031973061244119486,20.87112406869383,2.2,0.1696914027499674,0.967741935483871,-0.004894686655439301,1
AUD,2026-06-30,1.0,25.0004814472213,0.7270187893581846,-0.02147499163702883,20.87254080650817,1.2333333333333334,6.8980758922680945,0.967741935483871,-0.0010620022892219305,1
CAD,2026-06-30,1.0,25.0004814472213,0.7270187893581846,-0.02147499163702883,20.87254080650817,2.2333333333333334,0.20263729279324139,0.9666666666666667,-0.005822031691538476,1
CHF,2026-06-30,1.0,25.0004814472213,0.7270187893581846,-0.02147499163702883,20.87254080650817,2.2333333333333334,1.2454159654583514,1.0,-0.0028307697692661836,3
CNY,2026-06-30,1.0,25.0004814472213,0.7270187893581846,-0.02147499163702883,20.87254080650817,-0.7666666666666666,14.579921439716696,1.0,0.001101761436823212,1
EUR,2026-06-30,1.0,25.0004814472213,0.7270187893581846,-0.02147499163702883,20.87254080650817,3.2333333333333334,9.318624958980376,0.9786407766990292,-0.0039465327746739665,17
GBP,2026-06-30,1.0,25.0004814472213,0.7270187893581846,-0.02147499163702883,20.87254080650817,2.2333333333333334,3.725629465951672,1.0,-0.009480026943746823,2
JPY,2026-06-30,1.0,25.0004814472213,0.7270187893581846,-0.02147499163702883,20.87254080650817,3.2333333333333334,5.12564168771965,1.0,-0.012305198001912387,2
SGD,2026-06-30,1.0,25.0004814472213,0.7270187893581846,-0.02147499163702883,20.87254080650817,2.2333333333333334,0.1696914027499674,0.967741935483871,-0.004894686655439301,1
AUD,2026-07-31,1.0,24.96799471755259,0.7270187893581846,-0.014423869591006949,20.87118802206526,1.2666666666666666,6.8980758922680945,0.967741935483871,-0.0010620022892219305,1
CAD,2026-07-31,1.0,24.96799471755259,0.7270187893581846,-0.014423869591006949,20.87118802206526,2.2666666666666666,0.20263729279324139,0.9666666666666667,-0.005822031691538476,1
CHF,2026-07-31,1.0,24.96799471755259,0.7270187893581846,-0.014423869591006949,20.87118802206526,2.2666666666666666,1.2454159654583514,1.0,-0.0028307697692661836,3
CNY,2026-07-31,1.0,24.96799471755259,0.7270187893581846,-0.014423869591006949,20.87118802206526,-0.7333333333333334,14.579921439716696,1.0,0.001101761436823212,1
EUR,2026-07-31,1.0,24.96799471755259,0.7270187893581846,-0.014423869591006949,20.87118802206526,3.2666666666666666,9.318624958980376,0.9786407766990292,-0.0039465327746739665,17
GBP,2026-07-31,1.0,24.96799471755259,0.7270187893581846,-0.014423869591006949,20.87118802206526,2.2666666666666666,3.725629465951672,1.0,-0.009480026943746823,2
JPY,2026-07-31,1.0,24.96799471755259,0.7270187893581846,-0.014423869591006949,20.87118802206526,3.2666666666666666,5.12564168771965,1.0,-0.012305198001912387,2
SGD,2026-07-31,1.0,24.96799471755259,0.7270187893581846,-0.014423869591006949,20.87118802206526,2.2666666666666666,0.1696914027499674,0.967741935483871,-0.004894686655439301,1
AUD,2026-08-31,1.0,24.935507987883874,0.7270187893581846,-0.0096879206052701,20.86759579243831,1.3,6.8980758922680945,0.967741935483871,-0.0010620022892219305,1
CAD,2026-08-31,1.0,24.935507987883874,0.7270187893581846,-0.0096879206052701,20.86759579243831,2.3,0.20263729279324139,0.9666666666666667,-0.005822031691538476,1
CHF,2026-08-31,1.0,24.935507987883874,0.7270187893581846,-0.0096879206052701,20.86759579243831,2.3,1.2454159654583514,1.0,-0.0028307697692661836,3
CNY,2026-08-31,1.0,24.935507987883874,0.7270187893581846,-0.0096879206052701,20.86759579243831,-0.7,14.579921439716696,1.0,0.001101761436823212,1
EUR,2026-08-31,1.0,24.935507987883874,0.7270187893581846,-0.0096879206052701,20.86759579243831,3.3,9.318624958980376,0.9786407766990292,-0.0039465327746739665,18
GBP,2026-08-31,1.0,24.935507987883874,0.7270187893581846,-0.0096879206052701,20.86759579243831,2.3,3.725629465951672,1.0,-0.009480026943746823,2
JPY,2026-08-31,1.0,24.935507987883874,0.7270187893581846,-0.0096879206052701,20.86759579243831,3.3,5.12564168771965,1.0,-0.012305198001912387,2
SGD,2026-08-31,1.0,24.935507987883874,0.7270187893581846,-0.0096879206052701,20.86759579243831,2.3,0.1696914027499674,0.967741935483871,-0.004894686655439301,1
AUD,2026-09-30,1.0,24.903021258215162,0.7270187893581846,-0.006506978246152087,20.862254007697423,1.3333333333333333,6.8980758922680945,0.967741935483871,-0.0010620022892219305,1
CAD,2026-09-30,1.0,24.903021258215162,0.7270187893581846,-0.006506978246152087,20.862254007697423,2.3333333333333335,0.20263729279324139,0.9666666666666667,-0.005822031691538476,1
CHF,2026-09-30,1.0,24.903021258215162,0.7270187893581846,-0.006506978246152087,20.862254007697423,2.3333333333333335,1.2454159654583514,1.0,-0.0028307697692661836,3
CNY,2026-09-30,1.0,24.903021258215162,0.7270187893581846,-0.006506978246152087,20.862254007697423,-0.6666666666666667,14.579921439716696,1.0,0.001101761436823212,1
EUR,2026-09-30,1.0,24.903021258215162,0.7270187893581846,-0.006506978246152087,20.862254007697423,3.3333333333333335,9.318624958980376,0.9786407766990292,-0.0039465327746739665,18
GBP,2026-09-30,1.0,24.903021258215162,0.7270187893581846,-0.006506978246152087,20.862254007697423,2.3333333333333335,3.725629465951672,1.0,-0.009480026943746823,2
JPY,2026-09-30,1.0,24.903021258215162,0.7270187893581846,-0.006506978246152087,20.862254007697423,3.3333333333333335,5.12564168771965,1.0,-0.012305198001912387,2
SGD,2026-09-30,1.0,24.903021258215162,0.7270187893581846,-0.006506978246152087,20.862254007697423,2.3333333333333335,0.1696914027499674,0.967741935483871,-0.004894686655439301,1
AUD,2026-10-31,1.0,24.870534528546447,0.7270187893581846,-0.004370469951298275,20.855575556602062,1.3666666666666667,6.8980758922680945,0.967741935483871,-0.0010620022892219305,1
CAD,2026-10-31,1.0,24.870534528546447,0.7270187893581846,-0.004370469951298275,20.855575556602062,2.3666666666666667,0.20263729279324139,0.9666666666666667,-0.005822031691538476,1
CHF,2026-10-31,1.0,24.870534528546447,0.7270187893581846,-0.004370469951298275,20.855575556602062,2.3666666666666667,1.2454159654583514,1.0,-0.0028307697692661836,3
CNY,2026-10-31,1.0,24.870534528546447,0.7270187893581846,-0.004370469951298275,20.855575556602062,-0.6333333333333333,14.579921439716696,1.0,0.001101761436823212,1
EUR,2026-10-31,1.0,24.870534528546447,0.7270187893581846,-0.004370469951298275,20.855575556602062,3.3666666666666667,9.318624958980376,0.9786407766990292,-0.0039465327746739665,18
GBP,2026-10-31,1.0,24.870534528546447,0.7270187893581846,-0.004370469951298275,20.855575556602062,2.3666666666666667,3.725629465951672,1.0,-0.009480026943746823,2
JPY,2026-10-31,1.0,24.870534528546447,0.7270187893581846,-0.004370469951298275,20.855575556602062,3.3666666666666667,5.12564168771965,1.0,-0.012305198001912387,2
SGD,2026-10-31,1.0,24.870534528546447,0.7270187893581846,-0.004370469951298275,20.855575556602062,2.3666666666666667,0.1696914027499674,0.967741935483871,-0.004894686655439301,1
