month_end,N_nonUSD
2025-12-31,27
2026-01-31,27
2026-02-28,27
2026-03-31,27
2026-04-30,28
2026-05-31,28
2026-06-30,28
2026-07-31,28
2026-08-31,29
2026-09-30,29
2026-10-31,29
2026-11-30,29
2026-12-31,30
2027-01-31,30
2027-02-28,31
2027-03-31,31
2027-04-30,32
2027-05-31,32
2027-06-30,33
2027-07-31,34
2027-08-31,35
2027-09-30,35
2027-10-31,35
2027-11-30,36
2027-12-31,36
2028-01-31,36
2028-02-29,37
2028-03-31,37
2028-04-30,37
2028-05-31,37
2028-06-30,39
2028-07-31,41
2028-08-31,42
2028-09-30,44
2028-10-31,44
2028-11-30,44
2028-12-31,45
2029-01-31,45
2029-02-28,45
2029-03-31,46
2029-04-30,46
2029-05-31,46
2029-06-30,47
2029-07-31,47
2029-08-31,49
2029-09-30,50
2029-10-31,50
2029-11-30,51
2029-12-31,52
2030-01-31,53
2030-02-28,53
2030-03-31,53
2030-04-30,54
2030-05-31,54
2030-06-30,55
2030-07-31,55
2030-08-31,56
2030-09-30,56
2030-10-31,56
2030-11-30,57
