month_end,forecast,lower,upper,level,level_lower,level_upper
2025-12-31,26.214004852223773,25.777555453395966,26.65045425105158,242436304804.78156,156693178541.10376,375098408460.5763
2026-01-31,26.026197478357656,25.408964819245785,26.643430137469526,200924987404.50687,108386005736.44704,372472906342.4256
2026-02-28,25.87833112430611,25.122378590603454,26.63428365800877,173307121153.89502,81378633729.44424,369081623347.3273
2026-03-31,25.776156339993506,24.903257542337887,26.649055137649125,156474100308.31613,65365311032.09523,374573970209.9014
2026-04-30,25.708463614345547,24.732533089827648,26.684394138863446,146232493648.6009,55106476654.01735,388047712303.32654
2026-05-31,25.662751840539006,24.593673514866403,26.73183016621161,139698426613.81635,47961935117.64069,406898728137.3861
2026-06-30,25.62967202316257,24.47493545400054,26.7844085923246,135152826488.22961,42592135223.06077,428865245005.7854
2026-07-31,25.603279652690695,24.36881433446695,26.83774497091444,131632482473.98492,38303776617.27656,452360366848.2318
2026-08-31,25.580153372211218,24.27080517572779,26.889501568694644,128623243137.3484,34727759015.7459,476389468945.23956
2026-09-30,25.558472052690746,24.178297868983645,26.938646236397847,125864535779.79752,31659302777.99836,500386299665.2361
2026-10-31,25.53733649001193,24.089797594123908,26.984875385899954,123232233578.2235,28977850351.589302,524061764707.2963
2026-11-30,25.5163402727912,24.004435205385885,27.028245340196516,120671796639.95717,26606867746.963833,547290370396.0736
2026-12-31,25.495322397238663,23.965950034011016,27.02469476046631,118161999528.60616,25602351354.803764,545350617961.05634
2027-01-31,25.47423459742278,23.92869004424771,27.01977915059785,115696312268.98962,24665961278.295326,542676465012.6234
2027-02-28,25.453074829148196,23.892474327331186,27.013675330965206,113273924079.35301,23788647959.22439,539374154358.3453
2027-03-31,25.431856323270026,23.85717192207715,27.0065407244629,110895740630.97032,22963501981.12163,535539627196.303
2027-04-30,25.410594568837016,23.822680377771167,26.998508759902865,108562791804.37228,22184959090.76202,531255420221.49634
2027-05-31,25.38930272217865,23.788915153433603,26.989690290923694,106275723840.14919,21448384256.23426,526591156835.72986
2027-06-30,25.36799063031037,23.755804258455473,26.980177002165266,104034730797.03253,20749837628.40666,521605296669.59735
2027-07-31,25.346665189230144,23.723285353625574,26.970045024834715,101839633176.50247,20085928929.99293,516347086643.2182
2027-08-31,25.325331044228932,23.691303989714132,26.95935809874373,99689983675.5553,19453716913.686172,510858304833.2932
2027-09-30,25.303991252803705,23.659812381860252,26.948170123747158,97585158358.54184,18850633955.383858,505174688257.2031
2027-10-31,25.282647801257067,23.628768457788176,26.936527144725957,95524424079.38014,18274426451.888634,499327057936.43207
2027-11-30,25.26130197215021,23.598135069617605,26.924468874682816,93506984608.87436,17723106366.64393,493342193505.0971
2027-12-31,25.239954592646658,23.567879322630393,26.912029862662923,91532010780.91138,17194911304.975494,487243513444.1548
2028-01-31,25.218606197356202,23.537971999001265,26.89924039571114,89598659632.45566,16688271412.44203,481051608613.42303
2028-02-29,25.197257133273514,23.508387063188735,26.886127203358292,87706086323.60794,16201781838.849655,474784665953.15753
2028-03-31,25.175907626819683,23.479101238517323,26.872714015122042,85853451456.56041,15734179772.422201,468458809649.74335
2028-04-30,25.15455782656984,23.45009364554963,26.85902200759005,84039925510.89563,15284325231.98003,462088379609.9344
2028-05-31,25.133207830539543,23.421345493595243,26.845070167483843,82264691486.634,14851184949.5656,455686161634.4642
2028-06-30,25.111857703696522,23.39283981752284,26.830875589870203,80526946436.2067,14433818795.63834,449263579801.8496
2028-07-31,25.090507489273694,23.36456125295353,26.81645372559386,78825902306.75398,14031368298.873714,442830858838.8117
2028-08-31,25.069157216130755,23.336495843847572,26.801818588413937,77160786352.89517,13643046895.443146,436397162321.98346
2028-09-30,25.047806903578365,23.308630877385227,26.786982929771504,75530841280.98254,13268131610.641743,429970711176.6466
2028-10-31,25.02645656455982,23.28095474184577,26.77195838727387,73935325225.10289,12905955931.063202,423558885939.2152
2028-11-30,25.00510620776075,23.253456803888415,26.756755611633086,72373511617.72481,12555903670.264124,417168315514.06464
2028-12-31,24.983755839014048,23.226127302235263,26.741384375792833,70844688994.77739,12217403666.939983,410804954603.23956
2029-01-31,24.96240546223858,23.198957255256392,26.725853669220765,69348160760.53728,11889925183.686071,404474151567.23486
2029-02-28,24.941055080067837,23.17193838037317,26.710171779762504,67883244928.59423,11572973897.831787,398180708149.6015
2029-03-31,24.919704694271708,23.145063023539848,26.694346365003568,66449273849.40115,11266088394.744999,391928932243.448
2029-04-30,24.898354306039646,23.11832409734751,26.678384514731782,65045593931.18973,10968837089.31358,385722684675.773
2029-05-31,24.87700391617098,23.09171502652889,26.66229280581307,63671565358.648384,10680815513.75292,379565420823.953
2029-06-30,24.85565352520282,23.06522969983633,26.646077350569307,62326561812.194435,10401643920.035854,373460227747.91394
2029-07-31,24.834303133496057,23.038862427425315,26.6297438395668,61009970189.66012,10130965153.546925,367409857415.21783
2029-08-31,24.812952741293152,23.012607903009123,26.613297579577182,59721190331.53849,9868442761.392494,361416756508.8634
2029-09-30,24.79160234875698,22.9864611701608,26.596743527353162,58459634750.51295,9613759304.43463,355483093235.6446
2029-10-31,24.77025195599696,22.9604175922309,26.580086319763023,57224728365.69682,9366614846.784163,349610781492.9614
2029-11-30,24.74890156308659,22.934472825426695,26.563330300746486,56015908241.826706,9126725600.372921,343801502701.9699
2029-12-31,24.727551170075238,22.908622794663398,26.546479545487077,54832623333.53113,8893822705.46685,338056725572.9977
2030-01-31,24.706200776996052,22.882863671852498,26.529537882139607,53674334234.71544,8667651130.699575,332377724033.6878
2030-02-28,24.684850383871304,22.857191856338435,26.512508911404172,52540512933.05417,8447968678.490807,326765593520.3568
2030-03-31,24.663499990715962,22.831603957233735,26.49539602419819,51430642569.54574,8234545083.6419935,321221265807.49554
2030-04-30,24.64214959754007,22.806096777435986,26.47820241764415,50344217203.06275,8027161194.535759,315745522528.49603
2030-05-31,24.620799204350373,22.780667299138308,26.460931109562438,49280741579.82591,7825608227.753624,310339007522.06714
2030-06-30,24.5994488111514,22.755312670668964,26.443584951633838,48239730907.71005,7629687088.108356,305002238122.6164
2030-07-31,24.578098417946205,22.73003019451656,26.42616664137585,47220710635.29666,7439207747.099853,299735615499.06934
2030-08-31,24.556748024736827,22.70481731641491,26.408678733058743,46223216235.57631,7253988673.669742,294539434134.512
2030-09-30,24.53539763152464,22.67967161537714,26.39112364767214,45246792994.21175,7073856311.877307,289413890528.6486
2030-10-31,24.51404723831056,22.654590794581576,26.373503682039544,44290995802.26677,6898644600.761603,284359091195.94934
2030-11-30,24.492696845095214,22.629572673023624,26.355821017166804,43355388953.30939,6728194532.211657,279375060024.4402
